model,src_seq_length,tgt_seq_length,vocab_size,cnn_layers,dropout,lr,score,pplx,acc
169,3010,100,1000,5,0.0444264,0.814692015,,,
170,3010,100,1000,5,0.0444264,0.531036118,,,
171,3010,100,3000,3,0.9191011990000001,0.369975469,,,
172,3010,100,3000,3,0.9191011990000001,0.277831068,,,
173,3010,100,3000,3,0.6800738829999999,0.369975469,,,
174,3010,100,3000,3,0.6800738829999999,0.277831068,,,
175,3010,100,3000,3,0.9191011990000001,0.369975469,,,
176,3010,100,3000,3,0.9191011990000001,0.277831068,,,
177,3010,100,3000,3,0.6800738829999999,0.369975469,,,
178,3010,100,3000,3,0.6800738829999999,0.277831068,,,
179,3010,100,3000,2,0.9191011990000001,0.369975469,,,
180,3010,100,3000,2,0.9191011990000001,0.277831068,,,
181,3010,100,3000,2,0.6800738829999999,0.369975469,,,
182,3010,100,3000,2,0.6800738829999999,0.277831068,,,
183,3010,100,3000,1,0.19334297399999997,0.450013506,,,
184,3010,100,3000,1,0.19334297399999997,0.8474859220000001,,,
185,3010,100,3000,1,0.19334297399999997,0.450013506,,,
186,3010,100,3000,1,0.19334297399999997,0.8474859220000001,,,
187,3010,100,3000,3,0.48659020299999994,0.873290123,,,
188,3010,100,3000,3,0.48659020299999994,0.814692015,,,
189,3010,100,3000,3,0.48659020299999994,0.531036118,,,
190,3010,100,3000,3,0.0444264,0.873290123,,,
191,3010,100,3000,3,0.0444264,0.814692015,,,
192,3010,100,3000,3,0.0444264,0.531036118,,,
193,3010,100,3000,3,0.48659020299999994,0.873290123,,,
194,3010,100,3000,3,0.48659020299999994,0.814692015,,,
195,3010,100,3000,3,0.48659020299999994,0.531036118,,,
196,3010,100,3000,3,0.0444264,0.873290123,,,
197,3010,100,3000,3,0.0444264,0.814692015,,,
198,3010,100,3000,3,0.0444264,0.531036118,,,
199,3010,100,3000,5,0.48659020299999994,0.873290123,,,
200,3010,100,3000,5,0.48659020299999994,0.814692015,,,
201,3010,100,3000,5,0.48659020299999994,0.531036118,,,
202,3010,100,3000,5,0.0444264,0.873290123,,,
203,3010,100,3000,5,0.0444264,0.814692015,,,
204,3010,100,3000,5,0.0444264,0.531036118,,,
205,3010,200,1000,3,0.9191011990000001,0.369975469,,,
206,3010,200,1000,3,0.9191011990000001,0.277831068,,,
207,3010,200,1000,3,0.6800738829999999,0.369975469,,,
208,3010,200,1000,3,0.6800738829999999,0.277831068,,,
209,3010,200,1000,3,0.9191011990000001,0.369975469,,,
210,3010,200,1000,3,0.9191011990000001,0.277831068,,,
211,3010,200,1000,3,0.6800738829999999,0.369975469,,,
212,3010,200,1000,3,0.6800738829999999,0.277831068,,,
213,3010,200,1000,2,0.9191011990000001,0.369975469,,,
214,3010,200,1000,2,0.9191011990000001,0.277831068,,,
215,3010,200,1000,2,0.6800738829999999,0.369975469,,,
216,3010,200,1000,2,0.6800738829999999,0.277831068,,,
217,3010,200,1000,1,0.19334297399999997,0.450013506,,,
218,3010,200,1000,1,0.19334297399999997,0.8474859220000001,,,
219,3010,200,1000,1,0.19334297399999997,0.450013506,,,
220,3010,200,1000,1,0.19334297399999997,0.8474859220000001,,,
221,3010,200,1000,3,0.48659020299999994,0.873290123,,,
222,3010,200,1000,3,0.48659020299999994,0.814692015,,,
223,3010,200,1000,3,0.48659020299999994,0.531036118,,,
224,3010,200,1000,3,0.0444264,0.873290123,,,
225,3010,200,1000,3,0.0444264,0.814692015,,,
226,3010,200,1000,3,0.0444264,0.531036118,,,
227,3010,200,1000,3,0.48659020299999994,0.873290123,,,
228,3010,200,1000,3,0.48659020299999994,0.814692015,,,
229,3010,200,1000,3,0.48659020299999994,0.531036118,,,
230,3010,200,1000,3,0.0444264,0.873290123,,,
231,3010,200,1000,3,0.0444264,0.814692015,,,
232,3010,200,1000,3,0.0444264,0.531036118,,,
233,3010,200,1000,5,0.48659020299999994,0.873290123,,,
234,3010,200,1000,5,0.48659020299999994,0.814692015,,,
